dgenYmd,ippt,hogi,ipptNam,qhorGen01,qhorGen02,qhorGen03,qhorGen04,qhorGen05,qhorGen06,qhorGen07,qhorGen08,qhorGen09,qhorGen10,qhorGen11,qhorGen12,qhorGen13,qhorGen14,qhorGen15,qhorGen16,qhorGen17,qhorGen18,qhorGen19,qhorGen20,qhorGen21,qhorGen22,qhorGen23,qhorGen24,qsum,qavg,qvodMaxS,qvodMinS,qvodMax,qvodMin,eaidml,eaiflag,eaimsg
2024-01-01,9998,2,영흥풍력,0.0,7.68,3.84,0.0,0.0,23.04,7.68,0.0,17.28,3363.84,3747.84,600.96,23.04,1.92,0.0,0.0,0.0,0.0,0.0,0.0,190.08,151.68,405.12,84.48,8628.48,360,3747.84,1.92,3747.84,0.0,,,
2024-01-02,9998,2,영흥풍력,478.08,405.12,1.92,0.0,0.0,0.0,0.0,7.68,1.92,806.4,107.52,228.48,385.92,295.68,51.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2770.56,115,806.4,1.92,806.4,0.0,,,
2024-01-06,9998,2,영흥풍력,4696.32,5040.0,5016.96,6264.96,5719.68,6071.04,2999.04,593.28,40.32,3331.2,3615.36,656.64,3.84,15.36,1.92,0.0,0.0,157.44,992.64,426.24,1301.76,3525.12,6243.84,7221.12,63934.08,2664,7221.12,1.92,7221.12,0.0,,,
2024-01-03,9998,2,영흥풍력,0.0,1.92,0.0,0.0,0.0,0.0,9.6,5.76,170.88,842.88,82.56,660.48,2593.92,992.64,480.0,1008.0,1568.64,1440.0,1883.52,3567.36,3035.52,3016.32,2736.0,1860.48,25956.48,1082,3567.36,1.92,3567.36,0.0,,,
2024-01-04,9998,2,영흥풍력,647.04,620.16,266.88,11.52,0.0,1.92,232.32,600.96,1315.2,5448.96,5523.84,3212.16,833.28,483.84,489.6,1184.64,2119.68,2958.72,5930.88,5940.48,5644.8,6545.28,5009.28,2895.36,57916.8,2413,6545.28,1.92,6545.28,0.0,,,
2024-01-05,9998,2,영흥풍력,2563.2,4174.08,10611.84,7829.76,5003.52,3688.32,1728.0,1013.76,430.08,4131.84,3982.08,1317.12,627.84,462.72,483.84,489.6,487.68,485.76,531.84,3959.04,4064.64,4644.48,5049.6,3360.0,71120.64,2963,10611.84,430.08,10611.84,430.08,,,
2024-01-07,9998,2,영흥풍력,9093.12,6862.08,6314.88,13261.44,11852.16,12501.12,14094.72,10373.76,15325.44,16154.88,12635.52,7935.36,5370.24,7501.44,9221.76,10321.92,8492.16,9751.68,7802.88,6683.52,6238.08,7334.4,5677.44,3740.16,224540.16,9356,16154.88,3740.16,16154.88,3740.16,,,
2024-01-05,85W1,1,삼천포풍력,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2024-01-06,85W1,1,삼천포풍력,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
2024-01-03,85W1,1,삼천포풍력,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,
