datetime,태양광발전량(MWh),풍력발전량(MWh)
2022-01-01 00:00:00,0.0,96.28
2022-01-01 01:00:00,0.82,110.74
2022-01-01 02:00:00,0.54,104.58
2022-01-01 03:00:00,0.06,81.77
2022-01-01 04:00:00,0.0,78.54
2022-01-01 05:00:00,0.0,86.99
2022-01-01 06:00:00,0.0,84.17
2022-01-01 07:00:00,0.64,94.13
2022-01-01 08:00:00,26.41,115.95
2022-01-01 09:00:00,97.3,107.26
2022-01-01 10:00:00,154.47,77.69
2022-01-01 11:00:00,187.12,50.89
2022-01-01 12:00:00,192.01,36.74
2022-01-01 13:00:00,159.35,27.0
2022-01-01 14:00:00,127.66,18.95
2022-01-01 15:00:00,57.4,10.82
2022-01-01 16:00:00,30.99,7.0
2022-01-01 17:00:00,2.88,4.17
2022-01-01 18:00:00,3.7,18.99
2022-01-01 19:00:00,7.34,18.73
2022-01-01 20:00:00,7.05,11.65
2022-01-01 21:00:00,5.86,6.93
2022-01-01 22:00:00,1.39,3.46
2022-01-01 23:00:00,0.13,12.65
2022-01-02 00:00:00,0.09,22.03
2022-01-02 01:00:00,0.91,27.8
2022-01-02 02:00:00,0.97,55.41
2022-01-02 03:00:00,0.76,66.62
2022-01-02 04:00:00,0.29,67.03
2022-01-02 05:00:00,0.13,77.72
2022-01-02 06:00:00,0.02,45.25
2022-01-02 07:00:00,0.61,39.05
2022-01-02 08:00:00,25.38,24.23
2022-01-02 09:00:00,87.88,17.02
2022-01-02 10:00:00,107.75,26.57
2022-01-02 11:00:00,99.51,29.2
2022-01-02 12:00:00,102.29,31.07
2022-01-02 13:00:00,105.05,39.24
2022-01-02 14:00:00,98.88,79.0
2022-01-02 15:00:00,71.93,94.14
2022-01-02 16:00:00,25.84,100.01
2022-01-02 17:00:00,2.85,91.46
2022-01-02 18:00:00,3.49,100.71
2022-01-02 19:00:00,6.6,109.4
2022-01-02 20:00:00,3.92,110.54
2022-01-02 21:00:00,0.75,88.33
2022-01-02 22:00:00,0.11,78.56
2022-01-02 23:00:00,0.09,80.62
2022-01-03 00:00:00,0.04,48.05
2022-01-03 01:00:00,0.82,45.86
2022-01-03 02:00:00,0.81,58.62
2022-01-03 03:00:00,0.22,62.52
2022-01-03 04:00:00,0.03,45.37
2022-01-03 05:00:00,0.0,60.27
2022-01-03 06:00:00,0.0,69.69
2022-01-03 07:00:00,0.58,43.85
2022-01-03 08:00:00,21.71,47.33
2022-01-03 09:00:00,77.87,45.56
2022-01-03 10:00:00,139.04,58.77
2022-01-03 11:00:00,181.6,42.26
2022-01-03 12:00:00,188.04,45.7
2022-01-03 13:00:00,173.9,54.62
2022-01-03 14:00:00,140.69,64.18
2022-01-03 15:00:00,92.03,73.56
2022-01-03 16:00:00,36.11,69.07
2022-01-03 17:00:00,3.61,81.07
2022-01-03 18:00:00,3.71,114.35
2022-01-03 19:00:00,7.51,105.38
2022-01-03 20:00:00,7.19,79.15
2022-01-03 21:00:00,6.09,63.92
2022-01-03 22:00:00,1.75,50.57
2022-01-03 23:00:00,0.18,46.14
2022-01-04 00:00:00,0.08,44.52
2022-01-04 01:00:00,0.91,47.37
2022-01-04 02:00:00,0.97,73.59
2022-01-04 03:00:00,0.8,87.25
2022-01-04 04:00:00,0.41,87.35
2022-01-04 05:00:00,0.13,99.95
2022-01-04 06:00:00,0.02,90.11
2022-01-04 07:00:00,0.57,73.37
2022-01-04 08:00:00,21.01,61.49
2022-01-04 09:00:00,46.41,47.44
2022-01-04 10:00:00,49.21,48.88
2022-01-04 11:00:00,79.05,45.0
2022-01-04 12:00:00,94.54,62.0
2022-01-04 13:00:00,98.96,106.57
2022-01-04 14:00:00,79.39,121.31
2022-01-04 15:00:00,61.22,131.71
2022-01-04 16:00:00,29.98,134.37
2022-01-04 17:00:00,3.19,112.98
2022-01-04 18:00:00,3.57,121.09
2022-01-04 19:00:00,5.45,143.88
2022-01-04 20:00:00,3.5,113.83
2022-01-04 21:00:00,0.9,115.57
2022-01-04 22:00:00,0.02,111.69
2022-01-04 23:00:00,0.0,101.58
2022-01-05 00:00:00,0.0,100.5
2022-01-05 01:00:00,0.73,108.46
2022-01-05 02:00:00,0.43,96.64
2022-01-05 03:00:00,0.09,106.67
2022-01-05 04:00:00,0.03,100.68
2022-01-05 05:00:00,0.0,80.1
2022-01-05 06:00:00,0.04,62.84
2022-01-05 07:00:00,0.08,82.06
2022-01-05 08:00:00,3.66,68.52
2022-01-05 09:00:00,15.75,33.7
2022-01-05 10:00:00,36.23,32.46
2022-01-05 11:00:00,24.87,38.62
2022-01-05 12:00:00,16.07,22.38
2022-01-05 13:00:00,13.04,22.73
2022-01-05 14:00:00,10.9,26.34
2022-01-05 15:00:00,6.74,27.8
2022-01-05 16:00:00,2.02,37.61
2022-01-05 17:00:00,0.19,38.98
2022-01-05 18:00:00,0.83,56.63
2022-01-05 19:00:00,0.85,68.21
2022-01-05 20:00:00,0.06,59.14
2022-01-05 21:00:00,0.0,40.24
