datetime,기온(°C),강수량(mm),풍속(m/s),습도(%),일조(hr),일사(MJ/m2),태양광발전량(MWh),풍력발전량(MWh),전력수요(MWh),출력제한량,출력제한여부,풍속_증감량,일사_예측오차대응,시간대,전력수요_증감,전력수요_기준편차,발생예측,전일_출력제한량,출력제한_변화율,전일_태양광,전일_풍력,출력비율
2022-01-16 02:00:00,8.175,0.0,4.475,78.75,0.0,0.0,1.01,40.19,760858.0,0.0,0,3.0249999999999995,-1.01,2.0,-37616.0,1979.333333333372,0,0.0,0.0,1.02,18.1,0.0
2022-01-16 03:00:00,8.275,0.2,4.725,79.0,0.0,0.0,0.31,60.09,729180.0,0.0,0,0.25,-0.31,3.0,-31678.0,33657.33333333337,0,0.0,0.0,1.01,40.19,0.0
2022-01-16 04:00:00,8.825,0.0,5.475,74.0,0.0,0.0,0.08,85.29,711370.0,0.0,0,0.75,-0.08,4.0,-17810.0,22432.666666666628,0,0.0,0.0,0.31,60.09,0.0
2022-01-16 05:00:00,8.85,0.0,4.8,71.25,0.0,0.0,0.05,104.41,708541.0,0.0,0,-0.6749999999999998,-0.05,5.0,-2829.0,7822.666666666628,0,0.0,0.0,0.08,85.29,0.0
2022-01-16 06:00:00,8.75,0.0,5.4,67.0,0.0,0.0,0.02,71.61,723992.0,0.0,0,0.6000000000000005,-0.02,6.0,15451.0,-9357.666666666628,0,0.0,0.0,0.05,104.41,0.0
2022-01-16 07:00:00,8.75,0.0,4.375,66.5,0.0,0.0,0.16,81.21,748268.0,0.0,0,-1.0250000000000004,-0.16,7.0,24276.0,-21334.33333333337,0,0.0,0.0,0.02,71.61,0.0
2022-01-16 08:00:00,8.55,0.0,4.825,68.0,0.0,0.0,8.75,100.91,767945.0,0.0,0,0.4500000000000002,-8.75,8.0,19677.0,-21210.0,0,0.0,0.0,0.16,81.21,0.0
2022-01-16 09:00:00,8.75,0.0,5.675,70.75,0.0,0.06,25.75,80.14,774824.0,0.0,0,0.8499999999999996,-25.69,9.0,6879.0,-11145.0,0,0.0,0.0,8.75,100.91,0.0
2022-01-16 10:00:00,8.775,0.0,4.7,70.0,0.2,0.365,88.06,87.63,757403.0,0.0,0,-0.9749999999999996,-87.69500000000001,10.0,-17421.0,9321.0,0,0.0,0.0,25.75,80.14,0.0
2022-01-16 11:00:00,9.5,0.0,5.9,63.75,0.55,0.85,124.75,130.98,662455.0,0.0,0,1.2000000000000002,-123.9,11.0,-94948.0,69105.66666666663,1,0.0,0.0,88.06,87.63,0.0
2022-01-16 12:00:00,9.625,0.0,6.275,59.25,0.7,0.98,129.97,168.76,627796.0,0.0,0,0.375,-128.99,12.0,-34659.0,54755.33333333337,1,0.0,0.0,124.75,130.98,0.0
2022-01-16 13:00:00,9.55,0.0,6.95,56.5,0.75,1.06,144.82,148.79,617693.0,11.1,1,0.6749999999999998,-143.76,13.0,-10103.0,18288.33333333337,1,0.0,111000000.0,129.97,168.76,0.03780525185184249
2022-01-16 14:00:00,9.275,0.0,6.575,55.0,0.8,1.365,127.87,139.24,594777.0,55.9,1,-0.375,-126.505,14.0,-22916.0,18645.0,1,11.1,4.036035999675351,144.82,148.79,0.20927707678137203
2022-01-16 15:00:00,7.875,0.0,6.4,57.75,0.775,1.17,100.36,169.43,609582.0,56.3,1,-0.1749999999999998,-99.19,15.0,14805.0,-2231.333333333372,1,55.9,0.007155635049811003,127.87,139.24,0.20868082575014607
2022-01-16 16:00:00,7.4,0.0,6.2,54.0,0.775,0.845,44.53,187.32,646139.0,9.0,1,-0.2000000000000001,-43.685,16.0,36557.0,-29306.33333333337,0,56.3,-0.8401420944224829,100.36,169.43,0.03881820140659124
2022-01-16 17:00:00,6.3,0.0,5.925,59.75,0.7,0.3,7.2,198.79,746150.0,0.0,0,-0.2750000000000003,-6.9,17.0,100011.0,-78859.66666666663,0,9.0,-0.9999999888888891,44.53,187.32,0.0
2022-01-16 18:00:00,5.65,0.0,6.4,60.5,0.275,0.045,3.61,224.3,885492.0,0.0,0,0.4750000000000005,-3.565,18.0,139342.0,-126231.66666666664,0,0.0,0.0,7.2,198.79,0.0
2022-01-16 19:00:00,5.225,0.0,6.1,62.25,0.0,0.0,6.92,219.09,961137.0,0.0,0,-0.3000000000000007,-6.92,19.0,75645.0,-96877.33333333336,0,0.0,0.0,3.61,224.3,0.0
2022-01-16 20:00:00,4.875,0.0,5.425,63.5,0.0,0.0,5.47,182.65,965285.0,0.0,0,-0.6749999999999998,-5.47,20.0,4148.0,-27980.33333333337,0,0.0,0.0,6.92,219.09,0.0
2022-01-16 21:00:00,4.7,0.0,5.325,63.5,0.0,0.0,3.29,160.53,948670.0,0.0,0,-0.0999999999999996,-3.29,21.0,-16615.0,9694.0,0,0.0,0.0,5.47,182.65,0.0
2022-01-16 22:00:00,4.35,0.0,4.7,65.5,0.0,0.0,0.24,161.79,913693.0,0.0,0,-0.625,-0.24,22.0,-34977.0,28856.33333333337,0,0.0,0.0,3.29,160.53,0.0
2022-01-16 23:00:00,4.55,0.0,4.475,68.5,0.0,0.0,0.0,147.86,892302.0,0.0,0,-0.2250000000000005,0.0,23.0,-21391.0,25919.666666666628,0,0.0,0.0,0.24,161.79,0.0
2022-01-17 00:00:00,4.325,0.0,4.4,66.0,0.0,0.0,0.0,122.56,875848.0,0.0,0,-0.0749999999999992,0.0,0.0,-16454.0,18099.666666666628,0,0.0,0.0,0.0,147.86,0.0
