datetime,기온(°C),강수량(mm),풍속(m/s),습도(%),일조(hr),일사(MJ/m2),태양광발전량(MWh),풍력발전량(MWh),전력수요(MWh),출력제한량,출력제한여부,풍속_증감량,일사_예측오차대응,시간대,전력수요_증감,전력수요_기준편차,발생예측,예측출력제한량
2022-01-16 11:00:00,9.5,0.0,5.9,63.75,0.55,0.85,124.75,130.98,662455.0,0.0,0,1.2000000000000002,-123.9,11.0,-94948.0,69105.66666666663,1,48.595417
2022-01-16 12:00:00,9.625,0.0,6.275,59.25,0.7,0.98,129.97,168.76,627796.0,0.0,0,0.375,-128.99,12.0,-34659.0,54755.33333333337,1,54.05305
2022-01-16 13:00:00,9.55,0.0,6.95,56.5,0.75,1.06,144.82,148.79,617693.0,11.1,1,0.6749999999999998,-143.76,13.0,-10103.0,18288.33333333337,1,72.809685
2022-01-16 14:00:00,9.275,0.0,6.575,55.0,0.8,1.365,127.87,139.24,594777.0,55.9,1,-0.375,-126.505,14.0,-22916.0,18645.0,1,69.48403
2022-01-16 15:00:00,7.875,0.0,6.4,57.75,0.775,1.17,100.36,169.43,609582.0,56.3,1,-0.1749999999999998,-99.19,15.0,14805.0,-2231.333333333372,1,56.353058
2022-01-28 11:00:00,6.525,0.0,4.725,64.25,0.725,1.16,193.94,149.88,706318.0,0.0,0,0.4499999999999993,-192.78,11.0,-95753.0,88323.33333333337,1,33.73409
2022-01-28 12:00:00,7.1,0.0,5.075,62.75,0.825,1.75,188.64,116.29,646721.0,24.4,1,0.3500000000000005,-186.89,12.0,-59597.0,71649.0,1,49.33755
2022-01-28 13:00:00,7.3,0.0,5.05,61.5,0.75,1.62,189.5,130.97,619753.0,60.8,1,-0.0250000000000003,-187.88,13.0,-26968.0,37844.33333333337,1,46.048084
2022-01-28 14:00:00,7.65,0.0,4.825,60.75,0.9,1.8,160.22,145.75,615967.0,61.7,1,-0.2249999999999996,-158.42,14.0,-3786.0,11513.333333333372,1,39.563244
2022-01-28 15:00:00,7.375,0.0,4.775,61.5,0.8,1.235,121.75,190.8,634046.0,18.2,1,-0.0499999999999998,-120.515,15.0,18079.0,-10790.666666666628,1,24.891266
