거래일자,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
2017-01-01,656378,621408,589700,573419,570036,582280,602341,602859,589152,549536,542237,531976,524731,518877,514722,516666,533692,597410,644140,639266,632794,621849,628381,628715
2017-01-02,586422,554643,534583,526580,534727,552478,575498,604490,654646,680611,674699,665222,629074,628667,623171,619558,631196,664099,702374,696948,676864,658100,653553,654272
2017-01-03,615448,583552,562464,554712,565416,585445,611389,639643,668396,647479,639616,625621,595370,605550,602497,599568,613027,667579,730349,728496,711420,684298,675868,677630
2017-01-04,639216,605161,587747,579132,586761,606690,635172,663844,689901,659873,648561,635970,605048,615175,609187,602033,626323,679151,733058,729113,710215,674201,663473,662290
2017-01-05,619030,587831,565634,555499,559200,577059,602913,628171,670561,671578,660257,647305,618948,633173,635966,641629,663521,691493,712672,702331,693804,657977,650134,652141
2017-01-06,611637,580367,560626,554016,559328,573921,601400,630437,671269,668184,648418,629877,598662,611283,608394,608268,620114,664976,718733,716494,693009,658830,652419,649346
2017-01-07,610887,580532,567694,557430,560172,574309,590464,599338,622928,621165,626822,617126,588336,597194,596072,601468,632451,662801,685056,679474,665954,642990,643245,640647
2017-01-08,600263,566206,549887,546843,557170,570971,587266,590248,604602,592128,579049,568365,560729,562577,556752,554143,572093,621520,668654,679198,672847,648934,642716,641389
2017-01-09,606413,580805,558308,550041,560210,582426,620083,656967,701903,704515,708257,694779,659177,667488,658566,655270,671648,729152,773727,764808,751383,715246,706926,710020
2017-01-10,666668,636070,616315,609134,610510,628883,654822,682177,726349,719963,707103,696219,664117,671307,664600,662409,684498,745901,788098,781327,760493,725139,717880,720781
2017-01-11,682141,650323,626157,619395,622064,641056,665790,702613,748212,757043,729474,705200,667331,671778,672854,680559,715010,772741,802356,794477,778942,753081,736610,730875
