거래일자,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
2023-01-01,831297,791669,764382,747951,743485,750985,764083,774067,749461,686345,656076,650551,612025,591142,614664,641672,719686,824284,867002,867485,846129,821286,804508,792614
2023-01-02,751817,722317,695643,686117,690531,714578,745840,806745,872573,847297,801521,761482,717985,733680,740325,764678,842340,957639,988800,982803,964508,926876,899466,875701
2023-01-03,827209,783413,755915,742469,751797,767005,799054,840644,867595,876017,816617,771407,724979,728126,739651,769093,847209,952545,985725,976977,957502,924989,901624,886956
2023-01-04,831080,797260,771268,760540,764588,782259,821623,876602,888897,801718,744380,696617,649645,660180,674789,709686,793644,910138,961796,964079,942092,914858,894495,882114
2023-01-05,833089,792867,764571,750420,745376,765092,804400,861308,885661,807942,769511,740682,677616,691746,722068,741035,791514,885323,940842,939920,926090,902873,887816,874608
2023-01-06,823146,785004,758683,744618,731342,729145,765154,819809,883927,902107,808521,815994,802575,803412,794395,763052,809692,877611,900856,900072,877530,856078,841244,813641
2023-01-07,768487,750286,735131,726283,727548,740795,766854,799426,797134,716088,668425,630637,594130,594156,606120,643034,727823,849570,917513,917796,906901,886041,875048,868013
2023-01-08,829188,795342,775875,763830,763884,776907,799851,821407,780104,645292,590208,558291,538161,541600,559304,594583,666460,779463,867373,881381,874802,855578,838476,824200
2023-01-09,777864,742080,718015,704344,707857,726227,760012,813036,844761,792756,727942,693317,646804,681504,722834,746641,783419,858718,901709,904970,893312,871592,856956,848294
2023-01-10,800137,767326,746863,744726,749446,774695,812637,873538,882839,770794,705870,667670,630362,636641,655678,678852,743459,828217,886620,891977,886942,868213,843238,833475
2023-01-11,792719,763801,739039,727309,731015,750122,783660,835992,844097,737209,672541,627789,586506,594119,610666,643706,711332,806374,890476,902980,893122,870245,854647,838798
2023-01-12,786990,747476,719758,701326,692879,705213,722408,768967,782148,741210,771802,758154,763086,790920,798607,795593,808148,830716,840706,826384,804799,774727,752070,731669
2023-01-13,684700,643238,615075,602587,605907,616389,645495,690194,757841,799001,802703,772426,726072,752271,747768,745441,755808,781966,786240,777608,759247,738352,727700,716707
2023-01-14,673157,632087,609546,600962,601635,617808,633603,675511,696304,708554,683051,682484,675671,681501,683090,702372,734724,789069,805534,802912,795351,779305,768433,760961
2023-01-15,719307,688319,672983,655383,660409,676612,695029,729103,777479,795049,783540,798700,827992,798381,798831,841508,882545,911420,933236,918814,902829,874451,855940,845063
2023-01-16,801332,761783,740837,737556,745537,766101,803852,863897,915053,892768,872918,847765,813692,841349,843053,851105,902165,1006155,1038105,1021681,990754,954308,928646,909713
2023-01-17,848470,801363,788805,775205,771388,782952,809125,868967,957216,989497,931559,882338,869699,887330,892711,921481,941930,1008701,1022121,1009891,980776,940554,917095,898247
2023-01-18,850866,811552,781141,761494,758893,775791,813787,870264,936829,933197,859168,850792,812589,760197,779817,823470,877203,963489,1002149,989478,953966,921466,901154,887437
2023-01-19,827565,784586,756718,744766,745887,761429,796481,855366,918656,906517,880995,870496,819461,769017,755263,769111,807067,900605,976985,979997,958694,930238,915049,908468
2023-01-20,861165,820229,789753,771234,767297,782532,800928,839299,896746,880287,792397,750111,708219,700357,703273,727701,790777,919560,991625,997209,984218,959988,943511,932808
2023-01-21,896225,854104,821687,806492,806432,817106,836806,853123,845038,843660,808580,759612,694207,663108,656721,667567,740166,866360,943868,954084,948919,934861,924448,917972
2023-01-22,870320,831682,793354,757522,734316,733657,753004,777752,777841,732158,691035,694206,671922,708117,748087,785261,797847,807782,828583,825006,815291,804595,794785,790956
2023-01-23,751735,718229,694917,681981,692876,725108,749407,772254,732307,644123,640039,593702,531514,543510,598202,633583,684109,784830,847006,863568,856402,844997,843344,839114
2023-01-24,803599,777581,765202,766596,779395,798150,831272,867445,903178,924435,930035,898286,866605,902723,878727,928483,976536,1005287,1026892,1012918,989909,960697,940223,935734
2023-01-25,895566,861867,839563,827170,830217,846133,880815,928196,991499,1004120,919085,807550,736686,734806,760497,824220,912167,1012737,1043586,1047731,1037084,991173,952110,929868
2023-01-26,874050,833392,803271,787232,788255,796468,825640,875439,934923,930829,887838,816927,745118,758202,769470,798127,837732,912927,972626,972803,949974,920900,897555,873361
2023-01-27,826861,787650,761916,752714,757420,786051,822378,881074,972930,973414,1028440,1031638,1000219,965922,957389,995082,1055149,1076543,1065674,1044836,1014838,979988,958873,938073
2023-01-28,897799,860417,835135,821683,820899,830564,852315,881386,923898,946305,918928,822739,801008,825500,830119,852208,899945,975998,1011446,1000102,972019,938214,914935,907527
2023-01-29,857813,824847,811092,797381,793487,804923,824164,844656,856582,829410,824084,769277,745203,740838,741531,757891,820288,897647,949088,952259,948033,932982,916987,900914
2023-01-30,844688,806464,784611,779789,787208,806134,840038,891180,895954,811951,766822,714471,656853,663267,672932,701262,763000,885209,993897,1016714,1003659,976912,958943,946228
2023-01-31,898886,867229,842360,830092,835230,853756,889649,934579,910667,789068,736181,693709,643039,644453,650212,685267,742295,829354,915261,922683,899354,874676,861799,846898
2023-02-01,789074,744164,708870,692751,701660,727157,773881,836330,836137,743452,700306,654106,618356,642539,664137,710548,740808,837174,920989,938766,926142,909377,889061,869587
2023-02-02,823464,788948,770767,771939,781832,804646,846208,898484,882144,767310,715416,683634,646412,646442,663954,711518,806165,887486,965503,983741,961903,938103,907523,871723
2023-02-03,827194,778778,749252,732660,734805,755689,790106,839538,926655,867970,792985,734764,699411,717833,738740,763046,796248,894147,981975,983004,963127,933997,906516,893591
2023-02-04,852558,812522,788990,780936,782431,801010,829300,861496,816388,695261,644845,609096,579055,577288,592389,625836,714000,833196,938449,954413,940579,921269,910448,902520
2023-02-05,860900,825531,801582,789497,789943,803318,825867,840438,793482,685761,601541,566578,543172,535750,542394,571289,637142,755831,898978,933290,930964,915265,895862,874569
2023-02-06,822707,782416,756475,742427,740556,749782,782019,832295,885508,886443,848366,859511,867403,880370,872761,848901,918378,932526,934870,921188,901502,868471,847177,824713
2023-02-07,782784,746582,709761,699510,692562,710164,744083,795149,824249,832717,801010,704132,613568,619263,657945,658207,705168,779037,882389,912323,904305,891139,876121,865553
2023-02-08,821477,782454,762146,753735,752516,766554,804973,852238,808297,719047,678467,626702,585669,594062,608759,648576,702543,800904,904010,910815,891809,866414,856475,834333
