날짜,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
2024-01-01,751.338,712.366,680.578,666.899,665.037,673.465,696.637,724.671,714.001,661.376,627.012,613.361,645.768,661.714,685.757,722.728,750.133,802.52,820.383,814.011,803.33,780.349,760.124,744.073
2024-01-02,707.003,684.382,666.481,648.299,649.346,678.51,721.432,782.162,819.855,756.243,724.196,682.43,666.224,728.839,756.904,765.693,794.696,848.232,880.235,878.297,856.431,823.272,810.915,788.823
2024-01-03,735.734,686.883,656.948,644.241,644.193,668.133,704.81,763.519,855.678,876.931,833.963,794.032,753.525,746.576,747.739,772.786,821.489,901.645,929.217,919.133,896.113,862.842,842.682,819.717
2024-01-04,777.661,749.501,729.171,718.076,722.692,740.762,782.769,844.681,869.159,788.717,734.127,695.333,662.15,676.392,695.44,715.451,771.553,864.549,927.861,932.703,914.651,886.247,865.499,843.092
2024-01-05,792.121,750.497,722.074,700.226,695.836,712.571,742.437,787.108,835.015,818.167,783.324,756.262,719.26,708.919,725.76,743.652,779.367,832.069,859.335,864.538,844.876,832.894,817.165,805.885
2024-01-06,761.503,727.221,703.367,685.506,680.029,695.665,721.778,751.883,749.232,688.375,640.432,607.176,581.134,582.03,592.406,628.49,696.367,806.422,875.483,873.738,855.557,848.368,842.552,831.462
2024-01-07,786.709,739.872,706.314,694.985,699.943,711.027,731.844,758.172,763.796,717.236,697.381,685.468,686.462,702.265,691.591,712.402,770.167,870.553,919.862,913.623,890.891,861.901,845.201,829.928
2024-01-08,788.289,760.232,746.341,741.746,746.468,764.962,810.148,869.518,911.955,832.305,773.664,741.472,741.717,786.668,850.501,911.943,932.047,967.43,978.94,973.482,955.846,930.608,906.984,895.326
2024-01-09,851.581,814.193,790.427,771.718,772.337,772.028,793.668,853.225,891.343,870.654,846.964,864.704,868.222,895.325,905.183,903.496,918.935,934.105,934.542,917.961,897.362,858.488,834.624,819.423
2024-01-10,763.793,725.171,707.226,690.909,695.351,717.822,773.837,834.901,887.881,852.25,820.806,785.399,744.193,743.981,757.506,784.177,853.834,958.846,998.819,992.604,954.96,939.255,918.211,899.718
2024-01-11,853.412,815.056,788.222,766.334,770.201,788.409,828.184,880.423,896.134,809.857,763.15,747.021,732.004,725.13,713.239,729.485,790.729,892.022,960.9,975.026,955.828,930.026,908.152,886.979
2024-01-12,834.654,793.728,768.446,749.816,743.446,758.535,789.006,836.793,875.325,816.517,783.885,763.678,741.651,743.829,741.929,750.671,783.236,867.049,923.149,927.992,908.702,881.098,867.965,858.69
2024-01-13,819.871,785.503,766.781,753.88,754.268,768.324,795.811,829.37,798.683,689.491,643.043,618.559,590.497,593.54,604.656,632.692,702.967,819.927,908.269,924.749,920.864,906.202,895.898,882.211
2024-01-14,839.215,799.584,768.886,750.341,746.185,757.304,780.243,798.566,758.953,645.75,595.628,568.154,558.411,567.511,584.335,615.216,676.653,765.101,816.123,820.295,806.151,783.53,771.708,766.448
2024-01-15,731.812,711.297,699.836,696.795,708.005,733.399,780.053,846.43,861.324,781.481,741.925,705.639,673.22,684.342,695.58,707.628,786.958,902.794,971.14,981.276,963.207,937.638,918.267,901.106
2024-01-16,853.925,816.606,791.086,776.797,779.936,796.736,837.056,893.909,888.91,780.85,729.66,686.137,658.15,665.001,687.649,703.935,784.211,864.406,919.173,921.036,907.497,880.954,853.543,824.493
2024-01-17,779.507,735.02,718.85,695.011,682.924,700.052,738.308,780.239,813.356,794.919,768.524,716.659,691.084,669.263,670.743,706.065,726.24,774.119,829.249,840.685,823.885,793.57,770.83,747.565
2024-01-18,695.365,658.28,631.604,617.545,619.494,633.329,668.979,717.842,775.875,783.731,776.474,756.604,739.767,773.902,764.219,771.36,797.185,834.608,845.582,837.701,820.876,796.154,784.47,768.129
2024-01-19,722.801,680.317,646.937,632.702,635.277,657.212,692.316,739.706,818.689,858.63,841.336,841.976,834.664,844,850.992,863.837,875.001,882.958,875.896,861.788,835.326,806.748,786.334,767.178
2024-01-20,718.509,678.611,651.993,640.259,641.378,656.832,681.258,708.201,756.152,796.826,810.934,814.323,805.811,813.61,802.697,809.147,816.491,829.698,836.109,825.301,808.595,788.085,779.837,771.176
2024-01-21,732.391,697.347,673.004,661.244,663.442,677.196,698.844,719.609,723.978,721.245,704.84,701.848,701.363,716.719,734.967,751.487,788.676,831.018,863.563,858.463,843.514,828.261,817.535,804.671
2024-01-22,769.014,736.499,717.856,713.977,723.419,748.334,797.108,868.603,926.854,905.081,885.579,883.839,871.348,893.167,917.717,936.431,982.07,1045.048,1058.039,1041.755,1013.574,973.074,942.689,923.527
2024-01-23,875.546,833.589,810.327,795.537,797.955,814.729,854.331,909.022,982.719,1001.845,950.282,912.999,889.377,888.169,904.2,918.61,1002.977,1044.416,1056.769,1043.951,1006.514,969.267,939.371,920.44
2024-01-24,870.563,835.9,812.648,800.247,801.032,814.554,849.47,897.847,976.946,1020.553,1018.372,987.976,951.859,931.524,908.957,898.416,914.188,1006.811,1037.791,1028.159,1001.847,964.666,937.661,909.788
2024-01-25,855.551,813.446,787.511,773.88,772.938,789.372,822.933,878.778,955.399,964.067,962.223,939.65,891.439,892.157,876.681,870.656,906.276,985.786,1034.531,1030.219,1010.134,972.854,946.074,928.161
2024-01-26,874.327,823.322,787.689,760.617,756.493,770.494,809.462,869.795,927.952,921.126,896.537,872.246,829.038,792.49,788.231,807.602,844.618,926.76,988.52,992.281,974.855,948.506,927.939,907.419
2024-01-27,854.986,819.162,799.256,778.995,776.427,790.299,819.865,840.696,838.484,813.372,748.564,702.49,659.751,651.305,668.092,691.559,741.862,841.141,922.016,919.21,893.232,869.498,861.75,857.908
2024-01-28,807.025,760.227,729.751,718.226,725.94,742.814,769.326,791.394,771.069,696.116,682.813,664.623,646.055,633.217,634.683,656.128,711.424,823.323,926.182,944.82,938.155,924.307,913.1,898.986
2024-01-29,856.922,826.071,800.966,783.11,780.727,794.917,836.533,890.195,900.915,830.241,800.952,760.662,705.629,721.569,733.941,739.087,774.793,861.038,951.955,964.273,949.131,930.996,911.336,887.856
2024-01-30,839.078,805.68,777.907,756.413,737.298,742.851,774.251,824.121,906.435,907.898,890.384,905.572,873.522,847.269,841.846,883.94,907.165,922.854,929.152,914.993,888.737,852.615,828.201,805.907
2024-01-31,758.346,721.821,692.478,675.788,666.555,677.492,707.089,755.072,804.042,817.222,781.103,752.252,705.791,700.028,707.199,731.21,772.565,812.563,834.436,832.151,815.441,788.884,770.384,752.354
2024-02-01,705.005,667.466,646.196,635.661,638.647,657.585,695.818,746.06,817.036,858.489,869.704,866.687,860.604,863.996,872.429,902.302,901.09,907.557,896.828,886.581,867.271,835.065,815.901,796.89
2024-02-02,747.402,708.701,680.962,666.764,670.507,686.908,719.048,772.456,832.14,882.414,891.883,848.879,828.362,832.289,815.997,830.879,858.764,888.377,897.55,884.002,858.478,826.601,808.86,793.166
2024-02-03,753.371,715.055,688.469,667.991,664.906,676.023,697.104,728.444,773.011,819.34,862.117,856.355,842.191,828.294,810.897,822.19,835.517,855.62,868.605,859.226,838.898,816.768,799.625,781.051
2024-02-04,736.215,697.503,670.632,654.835,654.51,663.43,686.109,702.485,708.156,684.342,659.517,652.941,637.5,656.966,682.47,709.239,733.869,779.261,816.322,817.716,805.445,784.007,771.994,760.151
2024-02-05,715.684,675.319,649.887,634.92,635.282,650.176,688.229,741.606,799.007,783.643,755.776,764.108,777.372,783.257,772.451,774.237,797.27,829.232,891.187,901.561,880.055,840.81,825.354,804.021
2024-02-06,761.373,725.709,693.974,678.938,681.572,701.78,735.457,778.956,823.408,821.953,807.471,791.891,777.633,788.501,790.188,775.952,788.223,841.254,896.838,901.869,883.154,853.217,842.074,825.837
2024-02-07,783.461,752.469,721.857,706.868,712.85,738.476,781.283,830.997,844.858,795.465,775.772,747.541,714.788,729.647,738.324,759.772,800.326,870.361,943.875,954.308,937.158,912.239,894.263,881.631
2024-02-08,836.905,794.358,764.615,754.376,749.632,759.747,796.849,845.439,839.779,786.632,783.656,779.391,770.418,767.282,754.476,742.198,757.121,818.446,904.251,918.534,912.571,898.012,888.271,875.032
2024-02-09,813.954,773.003,751.093,741.796,737.862,750.761,771.717,775.706,728.154,673.843,669.279,665.08,658.661,645.724,639.237,659.329,694.705,768.904,867.058,888.61,884.122,870.486,856.008,836.397
2024-02-10,792.903,758.382,735.095,721.878,724.454,735.82,767.069,789.829,738.75,643.582,599.788,584.39,566.019,576.493,578.043,598.372,657.978,719.415,791.327,813.14,809.762,819.931,822.09,820.733
2024-02-11,788.297,756.643,728.295,718.188,718.927,716.514,726.905,748.935,711.626,626.81,614.051,598.778,592.024,588.922,575.826,559.705,614.636,705.281,817.711,853.436,849.4,841.636,835.339,827.756
2024-02-12,787.15,752.968,731.237,722.011,726.4,746.786,777.517,794.65,707.424,603.4,581.219,555.125,537.699,536.975,547.049,570.316,618.379,695.355,807.709,854.509,851.559,830.655,820.201,793.006
2024-02-13,745.44,702.577,674.062,658.163,661.5,681.051,711.6,743.851,747.439,713.509,676.818,645.427,612.242,612.071,620.831,638.936,673.817,725.22,790.97,815.492,799.996,776.767,758.167,725.468
