±¸ºÐ,±âÁØÀÏ,¿¬µµº° ½ÃÇàÈ¸Â÷,1½Ã,2½Ã,3½Ã,4½Ã,5½Ã,6½Ã,7½Ã,8½Ã,9½Ã,10½Ã,11½Ã,12½Ã,13½Ã,14½Ã,15½Ã,16½Ã,17½Ã,18½Ã,19½Ã,20½Ã,21½Ã,22½Ã,23½Ã,24½Ã,ÃÑÁ¦¾î·®
Ç³·Â,2017-03-21,1,0,0,0,0,0,0,0,0,0,0,0,0,6.2,7.5,8.9,0.5,0,0,0,0,0,0,0,0,23
Ç³·Â,2017-04-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,5.5,0.8,0,0,0,0,0,0,0,11.8
Ç³·Â,2017-04-14,3,0,0,0,0,0,0,0,0,0,0,0,3,13,3.2,0,0,0,0,0,0,0,0,0,0,19.2
Ç³·Â,2017-05-26,4,0,0,0,0,0,0,0,0,0,0,0,2.7,21.8,9.3,2.3,0,0,0,0,0,0,0,0,0,36
Ç³·Â,2017-09-11,5,0,0,13.2,30,21.6,14.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.7
Ç³·Â,2017-09-16,6,0,0,0.3,15,14.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
Ç³·Â,2017-10-13,7,0,0.3,15,15,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
Ç³·Â,2017-10-16,8,0,0,10.3,20,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
Ç³·Â,2017-10-21,9,0,0,0,0,0,0,0,0,0,0,0,4.2,25,20.8,0,0,0,0,0,0,0,0,0,0,50
Ç³·Â,2017-10-29,10,0,0,26.3,29.8,7.4,14.4,18.5,9.8,37.8,59.5,76,68.3,50.1,45,33,22,10.5,0,0,0,0,0,0,0,508.3
Ç³·Â,2017-10-30,11,0.8,30.8,52.3,57.2,45,28.6,6.6,0,0,0,0,2,25.3,7.8,0,0,0,0,0,0,0,0,0,0,256.3
Ç³·Â,2017-11-04,12,0,0,18.3,20.2,29.5,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.8
Ç³·Â,2017-11-11,13,0,0,14.4,19,19,6.1,0,0,0,0,0,1,16,9.1,0.4,0,0,0,0,0,0,0,0,0,85.1
Ç³·Â,2017-11-18,14,0,0,4.3,25,18.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.9
Ç³·Â,2018-02-17,1,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7
Ç³·Â,2018-04-06,2,0,0,0,0,0,0,0,0,0,0,0,13.2,44.2,57.2,28,0,0,0,0,0,0,0,0,0,142.5
Ç³·Â,2018-04-07,3,0,0,0,0,0,0,0,0,0,0,2.2,2.8,4.3,0.8,0,0,0,0,0,0,0,0,0,0,10
Ç³·Â,2018-04-10,4,0,0,0,0,0,0,0,0,0,0,0,0,13.6,25.4,1.9,0,0,0,0,0,0,0,0,0,40.8
Ç³·Â,2018-04-15,5,0,0,0,0,0,0,0,0,0,28.3,30,30,30,39.9,62.5,53.7,9.7,0,0,0,0,0,0,0,284.1
Ç³·Â,2018-05-03,6,0,0,0,0,0,0,0,0,0,0,0,3.2,23.5,3.8,0,0,0,0,0,0,0,0,0,0,30.5
Ç³·Â,2018-05-23,7,0,0,0,0,0,0,0,0,0,0,0,0,12.8,0,0,0,0,0,0,0,0,0,0,0,12.8
Ç³·Â,2018-08-27,8,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4
Ç³·Â,2018-09-21,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,7.8,0,0,0,0,0,0,0,15
Ç³·Â,2018-09-26,10,0,0,0,0,0,0,0,0,0,0,0,0,5.7,32.3,22.6,0,0,0,0,0,0,0,0,0,60.6
Ç³·Â,2018-09-30,11,0,0,15.9,23,23,8,0,0,25,47.2,60.6,84.8,94,78,56.8,38.1,5.7,0,0,0,0,0,0,0,560.1
Ç³·Â,2018-10-08,12,0,0,0,10.2,16.3,0,0,0,2.4,11,32.6,5,0,0,0,0,0,0,0,0,0,0,0,0,77.5
Ç³·Â,2018-10-12,13,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,3.3
Ç³·Â,2018-11-22,14,0,0,0,0,0,0,0,0,0,0,0,0,15,0.7,0,0,0,0,0,0,0,0,0,0,15.7
Ç³·Â,2018-12-23,15,0,0,0,0,0,0,0,0,0,0,0,5.8,35.7,45,21.7,2.4,0,0,0,0,0,0,0,0,110.7
Ç³·Â,2019-02-04,1,0,0,0,0,0,0,0,0,0,0,0,2.5,25.9,12.9,0,0,0,0,0,0,0,0,0,0,41.2
Ç³·Â,2019-03-13,2,0,0,0,0,0,0,0,0,0,0,0,4.2,51.2,56.5,42.5,14.3,0,0,0,0,0,0,0,0,168.6
Ç³·Â,2019-03-17,3,0,0,0,0,0,0,0,0,0,0,0,2.5,27.2,37,42.6,13.2,0,0,0,0,0,0,0,0,122.6
Ç³·Â,2019-03-19,4,0,0,0,0,0,0,0,0,0,0,2.3,27.7,32.4,7.3,0,0,0,0,0,0,0,0,0,0,69.8
Ç³·Â,2019-03-21,5,0,0,0,0,0,0,0,0,0,0,0,0,1.3,7.2,12.2,8.8,0,0,0,0,0,0,0,0,29.5
Ç³·Â,2019-03-22,6,0,0,0,0,0,0,0,0,0,5.3,44.3,72,100,115,105,91.7,40.5,13.8,0,0,0,0,0,0,587.6
Ç³·Â,2019-03-23,7,0,0,0,0,0,0,0,0,0,0,32.5,54.6,55,55.3,66,15.4,0,0,0,0,0,0,0,0,278.7
Ç³·Â,2019-03-27,8,0,0,0,0,0,0,0,0,0,0,0,10.2,40.7,47,30.9,5.2,0,0,0,0,0,0,0,0,133.9
Ç³·Â,2019-03-30,9,0,0,0,0,0,0,0,0,0,0,0,7.2,34.2,40,34,11.7,0,0,0,0,0,0,0,0,127
Ç³·Â,2019-03-31,10,0,0,0,0,0,0,0,0,17.8,51.5,89.8,123,132,143,135.1,71.1,31.8,0,0,0,0,0,0,0,795.3
Ç³·Â,2019-04-26,11,0,0,0,0,0,0,0,0,0,0,1.3,21.5,31.7,1.5,0,0,0,0,0,0,0,0,0,0,56
Ç³·Â,2019-05-01,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,0,0,0,0,0,0,0,0,0,12.2
Ç³·Â,2019-05-02,13,0,0,0,0,0,0,0,0,0,0,0,0,18.3,7.6,0,9.3,0,0,0,0,0,0,0,0,35.1
Ç³·Â,2019-05-06,14,0,0,0,0,0,0,0,0,0,0,0,35.1,73.3,83,83,80.3,50.1,12.1,0,0,0,0,0,0,417
Ç³·Â,2019-05-18,15,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5
Ç³·Â,2019-05-20,16,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,40.2,89.2,63.7,40,22.7,0,0,0,0,0,258.3
Ç³·Â,2019-05-21,17,0,0,0,0,0,0,0,0,0,0,0,10.7,36,41.5,13.8,0,0,0,0,0,0,0,0,0,102
Ç³·Â,2019-05-27,18,0,4.6,33.9,34.5,34.5,23,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.9
Ç³·Â,2019-05-28,19,0,0,0,0,0,0,0,4.4,30.2,38.1,56.5,93.2,105.5,117.3,86.3,48.7,26.1,0,0,0,0,0,0,0,606.2
Ç³·Â,2019-06-07,20,0,0,0,0,0,0,0,0,0,0,0,24.5,43.3,23,19.8,11,11,7.2,0,0,0,0,0,0,139.8
Ç³·Â,2019-06-15,21,0,0,0,0,0,0,0,0,0,10.2,30.2,49.3,60,53.5,23.5,1.5,0,0,0,0,0,0,0,0,228.1
Ç³·Â,2019-09-18,22,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,12.5
Ç³·Â,2019-09-19,23,0,0,0,0,0,0,0,0,0,0,0,0.1,5,26.8,11.1,0,0,0,0,0,0,0,0,0,43
Ç³·Â,2019-10-12,24,0,0,0,0,0,0,0,0,0,0,11.3,11.3,27.5,28.7,0,0,0,0,0,0,0,0,0,0,78.9
Ç³·Â,2019-10-14,25,0,0,0,0,0,0,0,0,0,0,0,19.6,39,35.8,11.1,0,0,0,0,0,0,0,0,0,105.4
