±¸ºÐ,±âÁØÀÏ,¿¬µµº° ½ÃÇàÈ¸Â÷,1½Ã,2½Ã,3½Ã,4½Ã,5½Ã,6½Ã,7½Ã,8½Ã,9½Ã,10½Ã,11½Ã,12½Ã,13½Ã,14½Ã,15½Ã,16½Ã,17½Ã,18½Ã,19½Ã,20½Ã,21½Ã,22½Ã,23½Ã,24½Ã,ÃÑÁ¦¾î·®
Ç³·Â,2023-01-02,1,0,0,0,0,0,0,0,0,0,0,0,0,58,18,15,2,0,0,0,0,0,0,0,0,93
Ç³·Â,2023-01-03,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,5
Ç³·Â,2023-01-07,3,0,0,0,0,0,0,0,0,0,0,44,137,147,161,105,22,0,0,0,0,0,0,0,0,616
Ç³·Â,2023-01-20,4,0,0,0,0,0,0,0,0,0,0,0,0,10,16,16,2,0,0,0,0,0,0,0,0,44
Ç³·Â,2023-01-23,5,0,0,0,0,0,0,0,0,0,0,0,25,109,93,3,0,0,0,0,0,0,0,0,0,230
Ç³·Â,2023-01-30,6,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,8
Ç³·Â,2023-02-01,7,0,0,0,0,0,0,0,0,0,0,0,0,21,20,0,0,0,0,0,0,0,0,0,0,41
Ç³·Â,2023-02-02,8,0,0,0,0,0,0,0,0,0,0,0,19,68,73,33,0,0,0,0,0,0,0,0,0,193
Ç³·Â,2023-02-03,9,0,0,0,0,0,0,0,0,0,0,0,0,19,9,0,0,0,0,0,0,0,0,0,0,28
Ç³·Â,2023-02-04,10,0,0,0,0,0,0,0,0,0,1,17,42,63,63,63,54,0,0,0,0,0,0,0,0,303
Ç³·Â,2023-02-07,11,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3
Ç³·Â,2023-02-08,12,0,0,0,0,0,0,0,0,0,0,0,3,52,53,44,11,0,0,0,0,0,0,0,0,163
Ç³·Â,2023-02-10,13,0,0,0,0,0,0,0,0,0,0,0,3,22,20,0,0,0,0,0,0,0,0,0,0,45
Ç³·Â,2023-02-14,14,0,0,0,0,0,0,0,0,0,0,0,49,155,163,141,75,5,0,0,0,0,0,0,0,588
Ç³·Â,2023-02-19,15,0,0,0,0,0,0,0,0,0,0,0,1,37,10,0,0,0,0,0,0,0,0,0,0,48
Ç³·Â,2023-02-20,16,0,0,0,0,0,0,0,0,0,0,37,91,113,69,11,0,0,0,0,0,0,0,0,0,321
Ç³·Â,2023-02-21,17,0,0,0,0,0,0,0,0,0,0,0,14,48,45,2,0,0,0,0,0,0,0,0,0,109
Ç³·Â,2023-02-24,18,0,0,0,0,0,0,0,0,0,0,0,0,0,23,40,26,0,0,0,0,0,0,0,0,89
Ç³·Â,2023-02-25,19,0,0,0,0,0,0,0,0,0,45,110,124,159,187,163,135,47,5,0,0,0,0,0,0,975
Ç³·Â,2023-02-26,20,0,0,0,0,0,0,0,0,0,20,74,81,82,82,82,79,30,0,0,0,0,0,0,0,530
Ç³·Â,2023-02-28,21,0,0,0,0,0,0,0,0,0,0,12,40,42,43,44,21,0,0,0,0,0,0,0,0,202
Ç³·Â,2023-03-01,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,48,19,0,0,0,0,0,0,84
Ç³·Â,2023-03-02,23,0,0,0,0,0,0,0,0,0,26,111,188,200,200,200,153,51,0,0,0,0,0,0,0,1129
Ç³·Â,2023-03-03,24,0,0,0,0,0,0,0,0,0,0,0,23,22,24,0,0,0,0,0,0,0,0,0,0,69
Ç³·Â,2023-03-04,25,0,0,0,0,0,0,0,0,0,0,0,25,33,37,37,0,0,0,0,0,0,0,0,0,132
Ç³·Â,2023-03-05,26,0,0,0,0,0,0,0,0,0,0,13,10,20,30,19,0,0,0,0,0,0,0,0,0,92
Ç³·Â,2023-03-06,27,0,0,0,0,0,0,0,0,0,0,6,12,15,19,23,0,0,0,0,0,0,0,0,0,75
Ç³·Â,2023-03-07,28,0,0,0,0,0,0,0,0,0,0,56,61,68,66,64,51,0,0,0,0,0,0,0,0,366
Ç³·Â,2023-03-08,29,0,0,0,0,0,0,0,0,0,0,0,40,78,46,1,0,0,0,0,0,0,0,0,0,165
Ç³·Â,2023-03-09,30,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50
Ç³·Â,2023-03-10,31,0,0,0,0,0,0,0,0,0,0,0,0,18,23,6,0,0,0,0,0,0,0,0,0,47
Ç³·Â,2023-03-11,32,0,0,0,0,0,0,0,0,0,0,0,26,32,38,31,0,0,0,0,0,0,0,0,0,127
Ç³·Â,2023-03-12,33,0,0,0,0,0,0,0,0,0,0,4,49,33,0,0,0,0,0,0,0,0,0,0,0,86
Ç³·Â,2023-03-13,34,0,0,0,0,0,0,0,0,0,69,77,93,81,73,67,0,0,0,0,0,0,0,0,0,460
Ç³·Â,2023-03-14,35,0,0,0,0,0,0,0,0,0,4,66,85,90,85,78,62,0,0,0,0,0,0,0,0,470
