일자,횟수,1시간,2시간,3시간,4시간,5시간,6시간,7시간,8시간,9시간,10시간,11시간,12시간,13시간,14시간,15시간,16시간,17시간,18시간,19시간,20시간,21시간,22시간,23시간,24시간,총제어량
2024-01-06,1,0,0,0,0,0,0,0,0,0,0,0,1,21,34,8,0,0,0,0,0,0,0,0,0,64
2024-01-10,2,0,0,0,0,0,0,0,0,0,0,0,0,25,42,5,0,0,0,0,0,0,0,0,0,72
2024-01-14,3,0,0,0,0,0,0,0,0,0,0,0,15,39,32,0,0,0,0,0,0,0,0,0,0,86
2024-01-15,4,0,0,0,0,0,0,0,0,0,0,8,76,132,97,60,6,0,0,0,0,0,0,0,0,379
2024-01-17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0,0,0,0,0,0,0,0,0,18
2024-01-27,6,0,0,0,0,0,0,0,0,0,0,0,0,6,16,0,0,0,0,0,0,0,0,0,0,22
2024-01-28,7,0,0,0,0,0,0,0,0,0,0,0,0,44,70,58,2,0,0,0,0,0,0,0,0,174
2024-02-13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0,0,0,0,0,0,0,0,0,31
2024-02-17,9,0,0,0,0,0,0,0,0,0,0,0,2,6,12,6,0,0,0,0,0,0,0,0,0,26
2024-02-26,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2024-03-07,11,0,0,0,0,0,0,0,0,0,0,0,55,61,9,79,42,0,0,0,0,0,0,0,0,246
2024-03-08,12,0,0,0,0,0,0,0,0,0,0,0,8,57,82,96,39,0,0,0,0,0,0,0,0,282
2024-03-09,13,0,0,0,0,0,0,0,0,0,0,0,46,119,117,70,3,0,0,0,0,0,0,0,0,355
2024-03-10,14,0,0,0,0,0,0,0,0,0,0,0,14,15,15,11,0,0,0,0,0,0,0,0,0,55
2024-03-13,15,0,0,0,0,0,0,0,0,0,0,0,0,11,8,0,0,0,0,0,0,0,0,0,0,19
2024-03-16,16,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,9
2024-03-17,17,0,0,0,0,0,0,0,0,0,0,1,0,1,15,17,0,0,0,0,0,0,0,0,0,34
2024-03-18,18,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,7
2024-03-19,19,0,0,0,0,0,0,0,0,0,0,0,23,92,109,85,16,0,0,0,0,0,0,0,0,325
2024-03-20,20,0,0,0,0,0,0,0,0,0,0,9,99,178,188,135,68,5,0,0,0,0,0,0,0,682
2024-03-21,21,0,0,0,0,0,0,0,0,0,0,0,9,35,32,15,0,0,0,0,0,0,0,0,0,91
2024-03-22,22,0,0,0,0,0,0,0,0,0,8,78,173,202,109,2,0,0,0,0,0,0,0,0,0,572
2024-03-26,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,8,0,0,0,0,0,0,0,21
2024-03-29,24,0,0,0,0,0,0,0,0,0,4,74,126,136,139,94,29,0,0,0,0,0,0,0,0,602
2024-03-30,25,0,0,0,0,0,0,0,0,0,33,107,140,143,146,144,100,13,0,0,0,0,0,0,0,826
