거래일자,거래시간,지역,연료원,발전량(MWh)
2023-12-01,1,경기도,태양광,0.064607
2023-12-01,2,경기도,태양광,0.0006
2023-12-01,3,경기도,태양광,0
2023-12-01,4,경기도,태양광,0
2023-12-01,5,경기도,태양광,0
2023-12-01,6,경기도,태양광,0
2023-12-01,7,경기도,태양광,0
2023-12-01,8,경기도,태양광,1.340148
2023-12-01,9,경기도,태양광,30.79532
2023-12-01,10,경기도,태양광,101.361647
2023-12-01,11,경기도,태양광,153.788035
2023-12-01,12,경기도,태양광,186.840189
2023-12-01,13,경기도,태양광,198.052502
2023-12-01,14,경기도,태양광,188.474795
2023-12-01,15,경기도,태양광,156.223991
2023-12-01,16,경기도,태양광,92.707562
2023-12-01,17,경기도,태양광,33.150752
2023-12-01,18,경기도,태양광,16.890652
2023-12-01,19,경기도,태양광,18.903981
2023-12-01,20,경기도,태양광,17.87195
2023-12-01,21,경기도,태양광,12.561526
2023-12-01,22,경기도,태양광,8.069496
2023-12-01,23,경기도,태양광,4.695425
2023-12-01,24,경기도,태양광,0.942591
2023-12-01,1,강원도,태양광,0.473032
2023-12-01,2,강원도,태양광,0.0016
2023-12-01,3,강원도,태양광,0.0002
2023-12-01,4,강원도,태양광,0
2023-12-01,5,강원도,태양광,0
2023-12-01,6,강원도,태양광,0
2023-12-01,7,강원도,태양광,0
2023-12-01,8,강원도,태양광,3.986696
2023-12-01,9,강원도,태양광,63.740731
2023-12-01,10,강원도,태양광,187.465276
2023-12-01,11,강원도,태양광,269.928385
2023-12-01,12,강원도,태양광,322.1331
2023-12-01,13,강원도,태양광,336.535793
2023-12-01,14,강원도,태양광,327.797978
2023-12-01,15,강원도,태양광,269.844891
2023-12-01,16,강원도,태양광,154.987143
2023-12-01,17,강원도,태양광,62.845971
2023-12-01,18,강원도,태양광,48.836466
2023-12-01,19,강원도,태양광,65.308413
2023-12-01,20,강원도,태양광,67.848415
2023-12-01,21,강원도,태양광,43.042363
2023-12-01,22,강원도,태양광,20.831282
2023-12-01,23,강원도,태양광,10.32512
2023-12-01,24,강원도,태양광,3.776261
2023-12-01,1,경상남도,태양광,0.406352
2023-12-01,2,경상남도,태양광,0.0282
2023-12-01,3,경상남도,태양광,0.00096
2023-12-01,4,경상남도,태양광,0
2023-12-01,5,경상남도,태양광,0
2023-12-01,6,경상남도,태양광,0
2023-12-01,7,경상남도,태양광,0
2023-12-01,8,경상남도,태양광,4.70773
2023-12-01,9,경상남도,태양광,62.279218
2023-12-01,10,경상남도,태양광,152.145283
2023-12-01,11,경상남도,태양광,199.432065
2023-12-01,12,경상남도,태양광,222.970182
2023-12-01,13,경상남도,태양광,238.470943
2023-12-01,14,경상남도,태양광,239.195824
2023-12-01,15,경상남도,태양광,220.489256
2023-12-01,16,경상남도,태양광,140.325694
2023-12-01,17,경상남도,태양광,49.954217
2023-12-01,18,경상남도,태양광,24.428304
2023-12-01,19,경상남도,태양광,29.553435
2023-12-01,20,경상남도,태양광,26.555191
2023-12-01,21,경상남도,태양광,18.353355
2023-12-01,22,경상남도,태양광,10.860018
2023-12-01,23,경상남도,태양광,4.034224
2023-12-01,24,경상남도,태양광,0.981428
2023-12-01,1,경상북도,태양광,0.204335
2023-12-01,2,경상북도,태양광,0.034215
2023-12-01,3,경상북도,태양광,0.0108
2023-12-01,4,경상북도,태양광,0
2023-12-01,5,경상북도,태양광,0
2023-12-01,6,경상북도,태양광,0
2023-12-01,7,경상북도,태양광,0
2023-12-01,8,경상북도,태양광,6.92411
2023-12-01,9,경상북도,태양광,94.76601
2023-12-01,10,경상북도,태양광,251.79388
2023-12-01,11,경상북도,태양광,354.965123
2023-12-01,12,경상북도,태양광,417.220422
2023-12-01,13,경상북도,태양광,441.494862
2023-12-01,14,경상북도,태양광,432.309206
2023-12-01,15,경상북도,태양광,367.893159
2023-12-01,16,경상북도,태양광,226.032422
2023-12-01,17,경상북도,태양광,78.433509
2023-12-01,18,경상북도,태양광,34.815406
2023-12-01,19,경상북도,태양광,65.844999
2023-12-01,20,경상북도,태양광,68.985373
2023-12-01,21,경상북도,태양광,53.266185
2023-12-01,22,경상북도,태양광,31.58664
2023-12-01,23,경상북도,태양광,10.291504
2023-12-01,24,경상북도,태양광,1.711676
2023-12-01,1,전라남도,태양광,0.537928
2023-12-01,2,전라남도,태양광,0.144976
2023-12-01,3,전라남도,태양광,0
2023-12-01,4,전라남도,태양광,0
2023-12-01,5,전라남도,태양광,0
2023-12-01,6,전라남도,태양광,0
2023-12-01,7,전라남도,태양광,0
2023-12-01,8,전라남도,태양광,7.202173
2023-12-01,9,전라남도,태양광,74.009772
2023-12-01,10,전라남도,태양광,236.661955
2023-12-01,11,전라남도,태양광,497.01473
2023-12-01,12,전라남도,태양광,628.094297
2023-12-01,13,전라남도,태양광,728.007218
2023-12-01,14,전라남도,태양광,795.308707
2023-12-01,15,전라남도,태양광,822.115858
2023-12-01,16,전라남도,태양광,666.158296
2023-12-01,17,전라남도,태양광,594.112221
2023-12-01,18,전라남도,태양광,486.549279
2023-12-01,19,전라남도,태양광,251.706546
2023-12-01,20,전라남도,태양광,70.133276
2023-12-01,21,전라남도,태양광,38.418301
2023-12-01,22,전라남도,태양광,12.834514
2023-12-01,23,전라남도,태양광,3.170945
2023-12-01,24,전라남도,태양광,0.141224
2023-12-01,1,전라북도,태양광,0.812678
2023-12-01,2,전라북도,태양광,0.409252
2023-12-01,3,전라북도,태양광,0.030904
2023-12-01,4,전라북도,태양광,0.023916
2023-12-01,5,전라북도,태양광,0
