거래일자,거래시간,지역,태양광발전량(MWh),풍력발전량(MWh)
2023-06-01,1,경기도,0.996836,0
2023-06-01,2,경기도,0.75428,0
2023-06-01,3,경기도,0,0
2023-06-01,4,경기도,0,0
2023-06-01,5,경기도,0,0
2023-06-01,6,경기도,0.929383,0
2023-06-01,7,경기도,13.479912,0
2023-06-01,8,경기도,39.20779,0
2023-06-01,9,경기도,78.433174,0
2023-06-01,10,경기도,92.42948,0
2023-06-01,11,경기도,90.086491,0
2023-06-01,12,경기도,121.808969,0
2023-06-01,13,경기도,122.19983,0.05346
2023-06-01,14,경기도,119.013864,0.140711
2023-06-01,15,경기도,111.274697,0.019468
2023-06-01,16,경기도,106.479658,0.048551
2023-06-01,17,경기도,94.41589,0.033914
2023-06-01,18,경기도,63.269047,0.0036
2023-06-01,19,경기도,37.638858,0.00774
2023-06-01,20,경기도,20.634218,0.015497
2023-06-01,21,경기도,16.232294,0.070546
2023-06-01,22,경기도,8.764141,0.048092
2023-06-01,23,경기도,3.341746,0.009
2023-06-01,24,경기도,0.258981,0
2023-06-01,1,강원도,2.163042,152.963527
2023-06-01,2,강원도,1.011176,149.359826
2023-06-01,3,강원도,0.692842,132.26932
2023-06-01,4,강원도,0.4086,114.509878
2023-06-01,5,강원도,0.295672,157.848425
2023-06-01,6,강원도,3.384603,143.790459
2023-06-01,7,강원도,32.797402,123.202566
2023-06-01,8,강원도,77.635827,112.143328
2023-06-01,9,강원도,148.078927,80.244951
2023-06-01,10,강원도,200.573704,74.181343
2023-06-01,11,강원도,201.046754,44.160695
2023-06-01,12,강원도,224.143996,27.456047
2023-06-01,13,강원도,229.266595,9.345493
2023-06-01,14,강원도,222.080578,6.058098
2023-06-01,15,강원도,229.685292,19.134887
2023-06-01,16,강원도,228.268176,29.471063
2023-06-01,17,강원도,183.853584,31.447183
2023-06-01,18,강원도,130.908405,27.906691
2023-06-01,19,강원도,96.71971,37.100999
2023-06-01,20,강원도,80.995638,43.852691
2023-06-01,21,강원도,61.101143,77.362642
2023-06-01,22,강원도,28.058307,140.654153
2023-06-01,23,강원도,8.886713,105.797328
2023-06-01,24,강원도,2.914255,101.581389
2023-06-01,1,경상남도,0.970632,0.941823
2023-06-01,2,경상남도,0.05472,0.460893
2023-06-01,3,경상남도,0.7056,0.864859
2023-06-01,4,경상남도,0.7284,2.363254
2023-06-01,5,경상남도,0.7272,2.87477
2023-06-01,6,경상남도,2.422917,4.534889
2023-06-01,7,경상남도,18.733846,4.303989
2023-06-01,8,경상남도,37.419393,0.619213
2023-06-01,9,경상남도,52.310003,0.727699
2023-06-01,10,경상남도,65.77081,3.897576
2023-06-01,11,경상남도,45.993178,1.230247
2023-06-01,12,경상남도,52.29469,5.647383
2023-06-01,13,경상남도,46.343328,1.171971
2023-06-01,14,경상남도,60.599023,3.123246
2023-06-01,15,경상남도,57.094445,1.548218
2023-06-01,16,경상남도,46.04154,1.570219
2023-06-01,17,경상남도,42.098885,1.343653
2023-06-01,18,경상남도,26.481468,1.524152
2023-06-01,19,경상남도,14.759674,2.483589
2023-06-01,20,경상남도,4.568431,3.846405
2023-06-01,21,경상남도,1.930564,11.739771
2023-06-01,22,경상남도,0.661512,15.207796
2023-06-01,23,경상남도,0.18912,14.793177
2023-06-01,24,경상남도,0.18864,17.185225
2023-06-01,1,경상북도,1.805579,35.986239
2023-06-01,2,경상북도,0.412594,27.534485
2023-06-01,3,경상북도,0.030166,17.59853
2023-06-01,4,경상북도,0,12.119675
2023-06-01,5,경상북도,0,22.501528
2023-06-01,6,경상북도,5.753263,31.610341
2023-06-01,7,경상북도,53.207727,38.349214
2023-06-01,8,경상북도,105.040951,38.862308
2023-06-01,9,경상북도,177.017137,42.857903
2023-06-01,10,경상북도,268.265159,24.315066
2023-06-01,11,경상북도,233.138179,35.14679
2023-06-01,12,경상북도,195.146635,40.680271
2023-06-01,13,경상북도,193.921281,18.921702
2023-06-01,14,경상북도,199.978183,20.553444
2023-06-01,15,경상북도,269.542298,31.297929
2023-06-01,16,경상북도,223.330412,32.676767
2023-06-01,17,경상북도,165.046308,37.089497
2023-06-01,18,경상북도,97.490215,53.995045
2023-06-01,19,경상북도,81.369205,52.930559
2023-06-01,20,경상북도,61.440911,58.277177
2023-06-01,21,경상북도,49.201334,60.70005
2023-06-01,22,경상북도,24.943438,63.857766
2023-06-01,23,경상북도,7.297405,80.712637
2023-06-01,24,경상북도,1.777251,93.444112
2023-06-01,1,전라남도,3.726278,33.646197
2023-06-01,2,전라남도,0.205568,38.273245
2023-06-01,3,전라남도,0.511992,67.600051
2023-06-01,4,전라남도,0.54216,65.419686
2023-06-01,5,전라남도,0.329856,70.699752
2023-06-01,6,전라남도,1.950287,71.441723
2023-06-01,7,전라남도,30.553604,47.591062
2023-06-01,8,전라남도,96.096103,26.849621
2023-06-01,9,전라남도,180.661763,24.522189
2023-06-01,10,전라남도,239.861403,44.477145
2023-06-01,11,전라남도,254.001767,50.884742
